product_id,product_name,brand,category,tier,price,mrp,discount_pct,rating,review_count,key_ingredients,skin_concern,is_bestseller,date_added,source,price_segment
NYK1010,Mamaearth Peptides Face Scrub,Mamaearth,Exfoliant / Scrub,Budget,299,299,0,4.2,1337,"Salicylic Acid, AHA/BHA, Peptides",Brightening,False,2023-10-04,synthetic_nykaa_model,Budget (< ₹500)
NYK1011,Kiehl's Peptides Under Eye Serum,Kiehl's,Eye Cream,Premium,6985,6985,0,4.0,48,"Hyaluronic Acid, Peptides",Acne,False,2023-11-20,synthetic_nykaa_model,Luxury (₹4000+)
NYK1012,Clinique Ceramides UV Shield,Clinique,Sunscreen,Premium,2130,2366,10,4.2,216,Ceramides,Pore Care,False,2023-08-06,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1013,Olay Glycerin Blemish Serum,Olay,Spot Treatment,Mid-range,763,897,15,4.2,120,"Alpha Arbutin, Retinol, Glycerin",Brightening,False,2023-09-10,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1014,The Body Shop Kojic Acid UV Shield,The Body Shop,Sunscreen,Premium,1599,1881,15,4.8,44,"Kojic Acid, Centella Asiatica, Green Tea Extract",Hydration,False,2023-05-22,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1015,Plum Vitamin C Booster Serum,Plum,Face Serum,Budget,534,628,15,3.9,61,Vitamin C,Brightening,False,2024-10-04,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1016,Estee Lauder Bakuchiol Water Cream,Estee Lauder,Moisturiser,Premium,10903,11476,5,4.1,53,"Salicylic Acid, Centella Asiatica, Bakuchiol",Oil Control,False,2024-06-25,synthetic_nykaa_model,Luxury (₹4000+)
NYK1017,Dot & Key Vitamin C Blemish Serum,Dot & Key,Spot Treatment,Budget,531,708,25,4.4,986,Vitamin C,Pigmentation,False,2024-10-18,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1018,Forest Essentials Kojic Acid Brightening Serum,Forest Essentials,Face Serum,Premium,3227,4302,25,4.6,48,"Kojic Acid, AHA/BHA",Oil Control,False,2023-01-04,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1019,Plum Ceramides Gel Moisturiser,Plum,Moisturiser,Budget,531,590,10,4.0,909,"Vitamin C, Benzoyl Peroxide, Ceramides",Brightening,False,2024-01-18,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1020,Minimalist Zinc Foaming Cleanser,Minimalist,Face Wash,Budget,191,191,0,3.7,1145,"Niacinamide, Zinc, SPF 50",Acne,False,2023-04-25,synthetic_nykaa_model,Budget (< ₹500)
NYK1021,Lotus Hyaluronic Acid Face Wash,Lotus,Face Wash,Budget,204,255,20,4.0,608,Hyaluronic Acid,Hydration,False,2024-08-03,synthetic_nykaa_model,Budget (< ₹500)
NYK1022,Paula's Choice Retinol Night Cream,Paula's Choice,Moisturiser,Premium,1277,1418,10,4.3,73,"SPF 50, Salicylic Acid, Retinol",Brightening,False,2024-11-06,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1023,CeraVe Glycerin Booster Serum,CeraVe,Face Serum,Mid-range,1229,1365,10,4.0,340,Glycerin,Sensitive Skin,False,2023-08-05,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1024,Plum Green Tea Extract Cleanser,Plum,Face Wash,Budget,438,461,5,4.3,254,"Green Tea Extract, Alpha Arbutin",Oil Control,False,2023-05-04,synthetic_nykaa_model,Budget (< ₹500)
NYK1025,Olay Zinc SPF 50 PA++++,Olay,Sunscreen,Mid-range,1606,1889,15,3.7,131,Zinc,Acne,False,2024-08-25,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1026,Minimalist Salicylic Acid Sunscreen SPF 50,Minimalist,Sunscreen,Budget,235,276,15,3.9,1265,Salicylic Acid,Acne,False,2023-08-23,synthetic_nykaa_model,Budget (< ₹500)
NYK1027,The Ordinary Salicylic Acid Glow Oil,The Ordinary,Face Oil,Mid-range,762,762,0,3.8,171,"Salicylic Acid, Bakuchiol",Hydration,False,2023-10-13,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1028,SK-II Retinol Sheet Mask,SK-II,Face Mask,Premium,13161,17548,25,3.9,260,"Retinol, SPF 50, Peptides",Oil Control,False,2024-02-21,synthetic_nykaa_model,Luxury (₹4000+)
NYK1029,Wow Skin Kojic Acid Repair Serum,Wow Skin,Face Serum,Budget,1106,1474,25,4.0,1699,Kojic Acid,Pore Care,False,2024-03-09,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1030,Lotus Hyaluronic Acid Cream,Lotus,Moisturiser,Budget,372,496,25,4.0,1395,"Hyaluronic Acid, Vitamin C, Squalane",Sensitive Skin,False,2023-12-14,synthetic_nykaa_model,Budget (< ₹500)
NYK1031,Mamaearth Ceramides Repair Serum,Mamaearth,Face Serum,Budget,756,1008,25,4.0,282,Ceramides,Oil Control,False,2023-05-24,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1032,Minimalist Alpha Arbutin Serum,Minimalist,Face Serum,Budget,1123,1403,20,4.1,1605,"Alpha Arbutin, Peptides",Anti-Ageing,False,2024-07-17,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1033,Wow Skin Niacinamide Night Cream,Wow Skin,Moisturiser,Budget,250,312,20,4.4,1091,"Squalane, Niacinamide, Salicylic Acid",Hydration,False,2023-06-20,synthetic_nykaa_model,Budget (< ₹500)
NYK1034,Olay Ceramides UV Shield,Olay,Sunscreen,Mid-range,908,1008,10,3.8,643,"Ceramides, Centella Asiatica",Acne,False,2023-06-18,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1035,Innisfree Alpha Arbutin Eye Repair Cream,Innisfree,Eye Cream,Mid-range,1765,2076,15,4.0,4876,"Glycerin, Alpha Arbutin",Pigmentation,False,2024-03-09,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1036,mCaffeine Ceramides Toner,mCaffeine,Toner,Budget,233,332,30,4.1,573,Ceramides,Pigmentation,False,2023-08-11,synthetic_nykaa_model,Budget (< ₹500)
NYK1037,Paula's Choice Zinc Facial Oil,Paula's Choice,Face Oil,Premium,4859,6478,25,4.0,14,"Zinc, Hyaluronic Acid, Bakuchiol",Oil Control,False,2024-05-29,synthetic_nykaa_model,Luxury (₹4000+)
NYK1038,Clinique AHA/BHA Gel Moisturiser,Clinique,Moisturiser,Premium,3017,4310,30,3.9,125,"Salicylic Acid, AHA/BHA, Squalane",Anti-Ageing,False,2024-11-22,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1039,Mamaearth Peptides Sunscreen SPF 50,Mamaearth,Sunscreen,Budget,633,1055,40,3.9,168,Peptides,Acne,False,2024-09-26,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1040,Estee Lauder Zinc Eye Repair Cream,Estee Lauder,Eye Cream,Premium,15193,16881,10,4.7,164,"Bakuchiol, Zinc, Glycerin",Hydration,False,2024-11-16,synthetic_nykaa_model,Luxury (₹4000+)
NYK1041,Forest Essentials Glycerin Clay Mask,Forest Essentials,Face Mask,Premium,2137,3052,30,4.5,3142,Glycerin,Sensitive Skin,False,2023-05-15,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1042,Forest Essentials Salicylic Acid Sunscreen SPF 50,Forest Essentials,Sunscreen,Premium,3016,4021,25,4.5,21,"Salicylic Acid, Niacinamide",Oil Control,False,2024-09-28,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1043,Mamaearth Ceramides Sunscreen SPF 50,Mamaearth,Sunscreen,Budget,202,202,0,5.0,70,"Ceramides, Bakuchiol, Glycerin",Brightening,False,2023-12-24,synthetic_nykaa_model,Budget (< ₹500)
NYK1044,Biotique Benzoyl Peroxide Sunblock,Biotique,Sunscreen,Budget,213,213,0,4.4,4326,"Benzoyl Peroxide, AHA/BHA",Oil Control,False,2024-07-10,synthetic_nykaa_model,Budget (< ₹500)
NYK1045,mCaffeine Squalane Sunscreen SPF 50,mCaffeine,Sunscreen,Budget,376,376,0,3.9,304,"Squalane, Benzoyl Peroxide, Vitamin C",Brightening,False,2023-09-28,synthetic_nykaa_model,Budget (< ₹500)
NYK1046,CeraVe Glycerin SPF 50 PA++++,CeraVe,Sunscreen,Mid-range,487,608,20,4.2,150,"Squalane, Retinol, Glycerin",Pigmentation,False,2024-09-11,synthetic_nykaa_model,Budget (< ₹500)
NYK1047,Mamaearth Glycerin Serum,Mamaearth,Face Serum,Budget,275,423,35,4.2,1879,"Ceramides, Glycerin",Oil Control,True,2023-02-22,synthetic_nykaa_model,Budget (< ₹500)
NYK1048,Cetaphil Hyaluronic Acid Brightening Serum,Cetaphil,Face Serum,Mid-range,935,1100,15,3.8,692,"Hyaluronic Acid, Niacinamide",Pore Care,False,2023-05-14,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1049,Biotique Niacinamide Facial Oil,Biotique,Face Oil,Budget,654,817,20,5.0,2296,"Alpha Arbutin, Kojic Acid, Niacinamide",Anti-Ageing,False,2023-03-19,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1050,Cetaphil Green Tea Extract Gel Moisturiser,Cetaphil,Moisturiser,Mid-range,1324,1324,0,3.8,188,Green Tea Extract,Brightening,False,2024-03-16,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1051,Mamaearth Green Tea Extract Cleanser,Mamaearth,Face Wash,Budget,512,602,15,3.8,148,"Green Tea Extract, Hyaluronic Acid",Pore Care,False,2023-08-04,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1052,The Ordinary Squalane SPF 50 PA++++,The Ordinary,Sunscreen,Mid-range,540,600,10,4.2,260,"Squalane, Kojic Acid",Brightening,False,2023-08-31,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1053,Clinique AHA/BHA SPF 50 PA++++,Clinique,Sunscreen,Premium,5731,6032,5,4.4,36,"Niacinamide, AHA/BHA",Pore Care,False,2024-02-26,synthetic_nykaa_model,Luxury (₹4000+)
NYK1054,Minimalist Vitamin C UV Shield,Minimalist,Sunscreen,Budget,421,467,10,4.2,317,Vitamin C,Sensitive Skin,False,2023-02-09,synthetic_nykaa_model,Budget (< ₹500)
NYK1055,La Roche-Posay Alpha Arbutin Facial Oil,La Roche-Posay,Face Oil,Mid-range,4396,4884,10,4.2,123,Alpha Arbutin,Pore Care,False,2023-11-09,synthetic_nykaa_model,Luxury (₹4000+)
NYK1056,Mamaearth Ceramides Water Cream,Mamaearth,Moisturiser,Budget,309,309,0,4.3,2084,Ceramides,Sensitive Skin,True,2023-03-13,synthetic_nykaa_model,Budget (< ₹500)
NYK1057,Estee Lauder Bakuchiol Clarifying Toner,Estee Lauder,Toner,Premium,9185,12246,25,4.0,38,"Bakuchiol, Centella Asiatica, Zinc",Acne,False,2023-04-29,synthetic_nykaa_model,Luxury (₹4000+)
NYK1058,Kiehl's Hyaluronic Acid Eye Repair Cream,Kiehl's,Eye Cream,Premium,5082,5646,10,4.3,34,"Glycerin, Hyaluronic Acid, Vitamin C",Sensitive Skin,False,2023-12-20,synthetic_nykaa_model,Luxury (₹4000+)
NYK1059,SK-II Vitamin C Sheet Mask,SK-II,Face Mask,Premium,14868,16520,10,4.6,150,"Bakuchiol, Vitamin C",Sensitive Skin,False,2024-08-13,synthetic_nykaa_model,Luxury (₹4000+)
NYK1060,Plum Kojic Acid Acne Gel,Plum,Spot Treatment,Budget,630,700,10,3.9,499,Kojic Acid,Acne,False,2024-06-16,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1061,Minimalist Zinc Spot Gel,Minimalist,Spot Treatment,Budget,576,576,0,4.1,568,"Salicylic Acid, Zinc",Pore Care,False,2024-11-10,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1062,La Mer Zinc Sunblock,La Mer,Sunscreen,Premium,9462,10513,10,5.0,222,"Benzoyl Peroxide, Kojic Acid, Zinc",Sensitive Skin,False,2024-12-14,synthetic_nykaa_model,Luxury (₹4000+)
NYK1063,Kiehl's Ceramides Under Eye Serum,Kiehl's,Eye Cream,Premium,3368,4210,20,4.3,27,Ceramides,Sensitive Skin,False,2024-11-11,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1064,Mamaearth Centella Asiatica SPF 50 PA++++,Mamaearth,Sunscreen,Budget,481,534,10,3.8,1389,"Benzoyl Peroxide, Centella Asiatica, Niacinamide",Pigmentation,False,2023-10-21,synthetic_nykaa_model,Budget (< ₹500)
NYK1065,Plum Bakuchiol Booster Serum,Plum,Face Serum,Budget,878,1097,20,3.7,878,"Zinc, Alpha Arbutin, Bakuchiol",Oil Control,False,2024-11-22,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1066,Mamaearth AHA/BHA AHA Exfoliator,Mamaearth,Exfoliant / Scrub,Budget,228,304,25,3.2,299,"AHA/BHA, Salicylic Acid",Pigmentation,False,2024-06-11,synthetic_nykaa_model,Budget (< ₹500)
NYK1067,Mamaearth Benzoyl Peroxide Eye Cream,Mamaearth,Eye Cream,Budget,978,1150,15,4.3,548,Benzoyl Peroxide,Hydration,False,2023-07-23,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1068,Plum Peptides Face Wash,Plum,Face Wash,Budget,292,292,0,3.8,3057,Peptides,Oil Control,False,2024-09-17,synthetic_nykaa_model,Budget (< ₹500)
NYK1069,La Roche-Posay Ceramides Facial Oil,La Roche-Posay,Face Oil,Mid-range,2750,3055,10,4.4,157,"Ceramides, Centella Asiatica",Oil Control,False,2024-02-14,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1070,mCaffeine Niacinamide Glow Oil,mCaffeine,Face Oil,Budget,648,648,0,3.9,1174,"Niacinamide, Vitamin C, Kojic Acid",Hydration,False,2023-06-30,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1071,CeraVe Vitamin C Sunblock,CeraVe,Sunscreen,Mid-range,1009,1261,20,5.0,105,"Peptides, Vitamin C, Alpha Arbutin",Brightening,False,2024-04-20,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1072,La Roche-Posay Kojic Acid Pimple Patch,La Roche-Posay,Spot Treatment,Mid-range,2862,3180,10,3.8,205,"Bakuchiol, Kojic Acid, Alpha Arbutin",Brightening,False,2024-05-01,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1073,The Ordinary Glycerin UV Shield,The Ordinary,Sunscreen,Mid-range,392,392,0,4.2,1927,Glycerin,Oil Control,False,2023-10-09,synthetic_nykaa_model,Budget (< ₹500)
NYK1074,Biotique Benzoyl Peroxide Face Mask,Biotique,Face Mask,Budget,224,320,30,4.1,1620,"Benzoyl Peroxide, Peptides, Glycerin",Pore Care,False,2023-11-24,synthetic_nykaa_model,Budget (< ₹500)
NYK1075,Cetaphil Peptides Facial Oil,Cetaphil,Face Oil,Mid-range,2137,2849,25,4.6,146,Peptides,Sensitive Skin,False,2024-12-11,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1076,Paula's Choice Kojic Acid Repair Serum,Paula's Choice,Face Serum,Premium,1784,2744,35,4.8,87,Kojic Acid,Sensitive Skin,False,2023-12-05,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1077,Neutrogena Ceramides Face Wash,Neutrogena,Face Wash,Mid-range,733,814,10,4.1,257,Ceramides,Sensitive Skin,False,2024-02-03,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1078,The Body Shop Niacinamide Glow Oil,The Body Shop,Face Oil,Premium,2306,2712,15,4.5,16,"Niacinamide, Green Tea Extract",Pigmentation,False,2024-02-04,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1079,Olay Glycerin Sunscreen SPF 50,Olay,Sunscreen,Mid-range,1194,1326,10,4.2,107,"Peptides, Glycerin",Sensitive Skin,False,2024-05-12,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1080,CeraVe Centella Asiatica Eye Repair Cream,CeraVe,Eye Cream,Mid-range,2659,3128,15,4.1,756,"Centella Asiatica, AHA/BHA",Oil Control,False,2023-05-11,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1081,Cetaphil Niacinamide Booster Serum,Cetaphil,Face Serum,Mid-range,1171,1171,0,4.4,1102,"Niacinamide, Salicylic Acid",Sensitive Skin,True,2024-04-17,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1082,Garnier Zinc Water Cream,Garnier,Moisturiser,Mid-range,869,965,10,3.4,648,"Centella Asiatica, Zinc",Hydration,False,2024-04-10,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1083,Lotus Glycerin Gel Cleanser,Lotus,Face Wash,Budget,206,257,20,4.7,126,"Glycerin, Kojic Acid",Pigmentation,False,2023-03-25,synthetic_nykaa_model,Budget (< ₹500)
NYK1084,Clinique Green Tea Extract Face Oil,Clinique,Face Oil,Premium,2313,2721,15,4.3,66,"Squalane, Hyaluronic Acid, Green Tea Extract",Hydration,False,2024-10-27,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1085,Lotus Niacinamide Sunscreen SPF 50,Lotus,Sunscreen,Budget,321,337,5,4.1,215,Niacinamide,Hydration,False,2023-07-24,synthetic_nykaa_model,Budget (< ₹500)
NYK1086,Dot & Key Retinol Cream,Dot & Key,Moisturiser,Budget,635,793,20,4.4,389,Retinol,Oil Control,False,2024-11-16,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1087,Minimalist Glycerin Serum,Minimalist,Face Serum,Budget,495,550,10,3.8,192,"Glycerin, Green Tea Extract",Brightening,False,2024-09-12,synthetic_nykaa_model,Budget (< ₹500)
NYK1088,mCaffeine Niacinamide Night Cream,mCaffeine,Moisturiser,Budget,795,795,0,3.9,1233,"Vitamin C, Niacinamide",Pigmentation,False,2024-08-12,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1089,Mamaearth Peptides Clay Mask,Mamaearth,Face Mask,Budget,637,910,30,3.8,510,"Ceramides, Salicylic Acid, Peptides",Anti-Ageing,False,2024-12-14,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1090,Forest Essentials Vitamin C Under Eye Serum,Forest Essentials,Eye Cream,Premium,3189,3543,10,4.1,716,"Vitamin C, Hyaluronic Acid, Green Tea Extract",Sensitive Skin,False,2024-11-08,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1091,The Ordinary Niacinamide Gel Cleanser,The Ordinary,Face Wash,Mid-range,439,548,20,4.3,344,"Zinc, Niacinamide, Kojic Acid",Oil Control,False,2023-04-19,synthetic_nykaa_model,Budget (< ₹500)
NYK1092,CeraVe Kojic Acid Foaming Cleanser,CeraVe,Face Wash,Mid-range,736,865,15,3.7,100,"Alpha Arbutin, Retinol, Kojic Acid",Brightening,False,2024-06-18,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1093,The Ordinary SPF 50 Booster Serum,The Ordinary,Face Serum,Mid-range,663,736,10,3.8,74,"SPF 50, Alpha Arbutin, Kojic Acid",Pigmentation,False,2023-11-27,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1094,Plum Peptides Pimple Patch,Plum,Spot Treatment,Budget,720,900,20,4.3,233,"Alpha Arbutin, Peptides",Oil Control,False,2024-08-06,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1095,CeraVe SPF 50 UV Shield,CeraVe,Sunscreen,Mid-range,988,1235,20,3.7,198,SPF 50,Pore Care,False,2023-07-06,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1096,Biotique Glycerin Water Cream,Biotique,Moisturiser,Budget,387,430,10,4.9,687,"Glycerin, Zinc",Pigmentation,False,2024-09-02,synthetic_nykaa_model,Budget (< ₹500)
NYK1097,Wow Skin Peptides Booster Serum,Wow Skin,Face Serum,Budget,475,500,5,3.6,370,"Ceramides, Salicylic Acid, Peptides",Sensitive Skin,False,2024-05-15,synthetic_nykaa_model,Budget (< ₹500)
NYK1098,Dot & Key SPF 50 Water Cream,Dot & Key,Moisturiser,Budget,661,734,10,3.5,1062,"SPF 50, Alpha Arbutin",Acne,False,2023-04-06,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1099,Clinique Benzoyl Peroxide Clay Mask,Clinique,Face Mask,Premium,2989,3321,10,4.5,25,"Peptides, Benzoyl Peroxide",Pore Care,False,2024-04-29,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1100,SK-II Zinc Sunblock,SK-II,Sunscreen,Premium,4515,5643,20,4.5,37,"Squalane, Zinc, Green Tea Extract",Oil Control,False,2023-10-05,synthetic_nykaa_model,Luxury (₹4000+)
NYK1101,Cetaphil Vitamin C Face Wash,Cetaphil,Face Wash,Mid-range,418,440,5,4.2,90,Vitamin C,Hydration,False,2023-11-20,synthetic_nykaa_model,Budget (< ₹500)
NYK1102,Biotique Ceramides Sunblock,Biotique,Sunscreen,Budget,246,289,15,3.3,556,Ceramides,Oil Control,False,2023-10-11,synthetic_nykaa_model,Budget (< ₹500)
NYK1103,Plum Benzoyl Peroxide Booster Serum,Plum,Face Serum,Budget,473,788,40,4.4,332,Benzoyl Peroxide,Hydration,False,2024-01-05,synthetic_nykaa_model,Budget (< ₹500)
NYK1104,Wow Skin Squalane Toner,Wow Skin,Toner,Budget,358,421,15,4.6,79,Squalane,Brightening,False,2023-10-08,synthetic_nykaa_model,Budget (< ₹500)
NYK1105,SK-II Retinol Clay Mask,SK-II,Face Mask,Premium,6897,10610,35,4.4,36,"Benzoyl Peroxide, Retinol, SPF 50",Anti-Ageing,False,2023-01-13,synthetic_nykaa_model,Luxury (₹4000+)
NYK1106,La Mer Zinc Brightening Serum,La Mer,Face Serum,Premium,18760,22070,15,4.2,59,"Alpha Arbutin, Zinc",Brightening,False,2023-02-22,synthetic_nykaa_model,Luxury (₹4000+)
NYK1107,The Body Shop Salicylic Acid Cream,The Body Shop,Moisturiser,Premium,1873,1971,5,4.4,43,Salicylic Acid,Sensitive Skin,False,2024-05-18,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1108,Olay Retinol Cleanser,Olay,Face Wash,Mid-range,1044,1160,10,4.0,185,Retinol,Pigmentation,False,2023-03-29,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1109,The Ordinary Peptides Gel Cleanser,The Ordinary,Face Wash,Mid-range,772,857,10,4.1,1547,"Kojic Acid, Peptides, Centella Asiatica",Oil Control,False,2023-11-01,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1110,mCaffeine Hyaluronic Acid Spot Gel,mCaffeine,Spot Treatment,Budget,507,724,30,2.8,230,"Hyaluronic Acid, Vitamin C, Ceramides",Hydration,False,2023-09-28,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1111,La Mer AHA/BHA Sunscreen SPF 50,La Mer,Sunscreen,Premium,13931,15478,10,4.4,44,AHA/BHA,Anti-Ageing,False,2023-06-10,synthetic_nykaa_model,Luxury (₹4000+)
NYK1112,Innisfree Benzoyl Peroxide Foaming Cleanser,Innisfree,Face Wash,Mid-range,895,942,5,4.2,73,"SPF 50, Benzoyl Peroxide",Acne,False,2023-08-26,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1113,Kiehl's Salicylic Acid Booster Serum,Kiehl's,Face Serum,Premium,3125,3676,15,4.5,93,"Alpha Arbutin, Salicylic Acid, Peptides",Pigmentation,False,2024-10-02,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1114,Lotus Squalane Sheet Mask,Lotus,Face Mask,Budget,310,387,20,3.4,398,Squalane,Hydration,False,2024-10-25,synthetic_nykaa_model,Budget (< ₹500)
NYK1115,Kiehl's Salicylic Acid Clarifying Toner,Kiehl's,Toner,Premium,2241,2636,15,4.4,435,Salicylic Acid,Acne,False,2023-06-19,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1116,Wow Skin Alpha Arbutin Night Cream,Wow Skin,Moisturiser,Budget,187,220,15,4.6,826,"Vitamin C, Alpha Arbutin",Pigmentation,False,2024-12-17,synthetic_nykaa_model,Budget (< ₹500)
NYK1117,Innisfree SPF 50 Serum,Innisfree,Face Serum,Mid-range,3935,5246,25,4.1,543,"Squalane, SPF 50, Alpha Arbutin",Anti-Ageing,False,2024-09-04,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1118,Garnier Niacinamide Spot Gel,Garnier,Spot Treatment,Mid-range,432,508,15,4.3,55,"Zinc, Glycerin, Niacinamide",Anti-Ageing,False,2023-08-23,synthetic_nykaa_model,Budget (< ₹500)
NYK1119,Kiehl's AHA/BHA Glow Oil,Kiehl's,Face Oil,Premium,9290,13271,30,4.0,58,"Hyaluronic Acid, AHA/BHA",Oil Control,False,2024-06-15,synthetic_nykaa_model,Luxury (₹4000+)
NYK1120,Paula's Choice Kojic Acid Sleeping Mask,Paula's Choice,Face Mask,Premium,2804,3298,15,4.7,37,Kojic Acid,Oil Control,False,2023-04-04,synthetic_nykaa_model,Premium (₹1500–4000)
NYK1121,Lotus Squalane Under Eye Serum,Lotus,Eye Cream,Budget,473,473,0,3.4,91,"Zinc, Squalane",Anti-Ageing,False,2023-06-14,synthetic_nykaa_model,Budget (< ₹500)
NYK1122,CeraVe Benzoyl Peroxide Spot Gel,CeraVe,Spot Treatment,Mid-range,665,831,20,3.6,46,"SPF 50, Benzoyl Peroxide, Centella Asiatica",Acne,False,2024-04-10,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1123,Neutrogena Vitamin C Serum,Neutrogena,Face Serum,Mid-range,1127,1186,5,3.0,230,"Zinc, Vitamin C",Sensitive Skin,False,2024-06-10,synthetic_nykaa_model,Mid-range (₹500–1500)
